Client,Project,Service Request,Sample,Lab Code,Sample_Type,Date Collected,Time_Collected,Date Received,Time_Received,Date Extracted,Time_Extracted,Date Analyzed,Time_Analyzed,Extraction Method,Method,Matrix,Basis,Units,CAS_No,Component,Dilution Factor,Reporting Limit,Detection Limit,Result,Result Notes,Spike Concentration,Percent Recovery,Acceptance Limits,Average,RPD,RetentionTime,RegulatoryLimit
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM22-Soldotna Creek,K2105405-001,SMPL,5/11/2021,11:35,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:42,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,12.5,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM22-Soldotna Creek,K2105405-001,SMPL,5/11/2021,11:35,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:42,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,1.03,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM22-Soldotna Creek,K2105405-001,SMPL,5/11/2021,11:35,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:42,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0053,,3.57,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM23-Swiftwater Park,K2105405-002,SMPL,5/11/2021,11:10,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:49,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,10.7,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM23-Swiftwater Park,K2105405-002,SMPL,5/11/2021,11:10,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:49,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,0.418,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM23-Swiftwater Park,K2105405-002,SMPL,5/11/2021,11:10,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:49,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0053,,1.28,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM30-Funny River,K2105405-003,SMPL,5/11/2021,9:06,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:57,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,5.09,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM30-Funny River,K2105405-003,SMPL,5/11/2021,9:06,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:57,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,0.807,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM30-Funny River,K2105405-003,SMPL,5/11/2021,9:06,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:57,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0053,,1.79,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM31-Morgan's Landing,K2105405-004,SMPL,5/11/2021,10:13,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:00,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,11.1,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM31-Morgan's Landing,K2105405-004,SMPL,5/11/2021,10:13,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:00,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,0.417,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM31-Morgan's Landing,K2105405-004,SMPL,5/11/2021,10:13,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:00,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0053,,1.32,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM10.1-Kenai River,K2105405-005,SMPL,5/11/2021,10:30,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:10,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,9.98,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM10.1-Kenai River,K2105405-005,SMPL,5/11/2021,10:30,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:10,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,0.427,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM10.1-Kenai River,K2105405-005,SMPL,5/11/2021,10:30,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:10,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0053,,1.31,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM12.5-Pillars,K2105405-006,SMPL,5/11/2021,10:50,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:12,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,10,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM12.5-Pillars,K2105405-006,SMPL,5/11/2021,10:50,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:12,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,0.471,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM12.5-Pillars,K2105405-006,SMPL,5/11/2021,10:50,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:12,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0053,,1.28,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM18-Poachers Cove,K2105405-007,SMPL,5/11/2021,11:25,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:15,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,10.1,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM18-Poachers Cove,K2105405-007,SMPL,5/11/2021,11:25,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:15,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,0.546,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM18-Poachers Cove,K2105405-007,SMPL,5/11/2021,11:25,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:15,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0053,,1.27,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM19-Slikok Creek,K2105405-008,SMPL,5/11/2021,12:09,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:18,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,7.8,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM19-Slikok Creek,K2105405-008,SMPL,5/11/2021,12:09,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:18,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,0.605,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM19-Slikok Creek,K2105405-008,SMPL,5/11/2021,12:09,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:18,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0053,,2.3,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM21-Solotna Bridge,K2105405-009,SMPL,5/11/2021,9:53,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:20,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,9.59,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM21-Solotna Bridge,K2105405-009,SMPL,5/11/2021,9:53,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:20,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,0.526,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM21-Solotna Bridge,K2105405-009,SMPL,5/11/2021,9:53,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:20,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0053,,1.3,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM0-No Name Creek Dup,K2105405-010,SMPL,5/11/2021,10:17,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:23,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,9.04,=,,,,,,,
