"PROJECT_ID","SAMPLE_ID","MATRIX","COLLECT_DATE","LAB_SAMPLE_ID","SAMPLE_TYPE","LOCATION","REC_DATE","RUN_DATE_TIME","ANL_BATCH","PRP_BATCH","EXTRACTION_CODE","EXTRACTED_DATE","ANALYTE","DISSOLVED","CAS_NUMBER","ANALYTE_FLAG","ANALYTICAL_METHOD",RESULT,"RESULTFLAG","TEXT_RESULT",MDL,REPDL,"UNITS",ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERED,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,"ALLOWABLE_LIMIT","ANALYSIS_GROUP",METHOD_ORDER,ANALYTE_ORDER,"ANALYST",LOQ,LOD,DL
"","1212207001 MS FOR [WXX13700]","1","05/06/2021 10:36","1610770","MS","","05/06/2021 16:15","05/18/2021 18:44","WDA4979","WXX13700","SM21 4500P-B,E","05/18/2021 14:53","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.232,"=","",,0.02,"mg/L",1,25,25,,,0.2,98.9,75,125,0.0339,,,,3,"","Waters Department",20,266,"EWW",0.04,0.02,0.012
"","1212207001 MSD FOR [WXX13700]","1","05/06/2021 10:36","1610771","MSD","","05/06/2021 16:15","05/18/2021 18:45","WDA4979","WXX13700","SM21 4500P-B,E","05/18/2021 14:53","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.248,"=","",,0.02,"mg/L",1,25,25,,,0.2,107,75,125,0.0339,6.9,0,25,3,"","Waters Department",20,266,"EWW",0.04,0.02,0.012
"","1212275001 MS FOR [WFI2930]","0","05/06/2021 13:50","1610220","MS","","05/11/2021 09:07","05/15/2021 11:39","WFI2930","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.64,"=","",,0.1,"mg/L",2,5,5,,,5,113,90,110,0,,,,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05
"","1212275001 MSD FOR [WFI2930]","0","05/06/2021 13:50","1610221","MSD","","05/11/2021 09:07","05/15/2021 11:41","WFI2930","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.61,"=","",,0.1,"mg/L",2,5,5,,,5,112,90,110,0,0.63,0,25,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05
"","1212334001 MS FOR [WFI2930]","0","05/11/2021 10:30","1610222","MS","","05/12/2021 09:44","05/15/2021 13:06","WFI2930","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.97,"=","",,0.1,"mg/L",2,5,5,,,5,115,90,110,0.2,,,,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05
"","1212334001 MSD FOR [WFI2930]","0","05/11/2021 10:30","1610223","MSD","","05/12/2021 09:44","05/15/2021 13:07","WFI2930","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.89,"=","",,0.1,"mg/L",2,5,5,,,5,114,90,110,0.2,1.4,0,25,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05
"","1212341014MS","1","05/11/2021 07:21","1610775","MS","","05/12/2021 08:16","05/18/2021 19:07","WDA4979","WXX13700","SM21 4500P-B,E","05/18/2021 14:53","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.198,"=","",,0.02,"mg/L",1,25,25,,,0.2,98.8,75,125,0,,,,3,"","Waters Department",20,266,"EWW",0.04,0.02,0.012
"","1212341014MSD","1","05/11/2021 07:21","1610776","MSD","","05/12/2021 08:16","05/18/2021 19:08","WDA4979","WXX13700","SM21 4500P-B,E","05/18/2021 14:53","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.202,"=","",,0.02,"mg/L",1,25,25,,,0.2,101,75,125,0,2.4,0,25,3,"","Waters Department",20,266,"EWW",0.04,0.02,0.012
"","1212341018MS","1","05/11/2021 09:15","1610224","MS","","05/12/2021 08:16","05/15/2021 13:51","WFI2930","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",6.14,"=","",,0.1,"mg/L",2,5,5,,,5,118,90,110,0.225,,,,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05
"","1212341018MSD","1","05/11/2021 09:15","1610225","MSD","","05/12/2021 08:16","05/15/2021 13:53","WFI2930","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.87,"=","",,0.1,"mg/L",2,5,5,,,5,113,90,110,0.225,4.4,0,25,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05
"","1212341025MS","1","05/11/2021 11:33","1610044","MS","","05/12/2021 08:16","05/21/2021 07:24","MMS11107","MXX34173","E200.2","05/14/2021 09:40","Arsenic",".","7440-38-2","N","EP200.8",1040,"=","",,2.5,"ug/L",1,20,50,,,1000,104,70,130,4.86,,,,3,"(<10)","Metals by ICP/MS (Provisional Cert)",15,3,"DMM",5,2.5,1.5
"","1212341025MS","1","05/11/2021 11:33","1610044","MS","","05/12/2021 08:16","05/21/2021 07:24","MMS11107","MXX34173","E200.2","05/14/2021 09:40","Cadmium",".","7440-43-9","N","EP200.8",105,"=","",,0.25,"ug/L",1,20,50,,,100,105,70,130,0,,,,3,"(<5)","Metals by ICP/MS (Provisional Cert)",15,7,"DMM",0.5,0.25,0.15
"","1212341025MS","1","05/11/2021 11:33","1610044","MS","","05/12/2021 08:16","05/21/2021 07:24","MMS11107","MXX34173","E200.2","05/14/2021 09:40","Chromium",".","7440-47-3","N","EP200.8",411,"=","",,2.5,"ug/L",1,20,50,,,400,103,70,130,0,,,,3,"(<100)","Metals by ICP/MS (Provisional Cert)",15,9,"DMM",5,2.5,2.5
"","1212341025MS","1","05/11/2021 11:33","1610044","MS","","05/12/2021 08:16","05/21/2021 07:24","MMS11107","MXX34173","E200.2","05/14/2021 09:40","Copper",".","7440-50-8","N","EP200.8",1070,"=","",,0.5,"ug/L",1,20,50,,,1000,107,70,130,0,,,,3,"(<1000)","Metals by ICP/MS (Provisional Cert)",15,11,"DMM",1,0.5,0.31
"","1212341025MS","1","05/11/2021 11:33","1610044","MS","","05/12/2021 08:16","05/21/2021 07:24","MMS11107","MXX34173","E200.2","05/14/2021 09:40","Lead",".","7439-92-1","N","EP200.8",1040,"=","",,0.1,"ug/L",1,20,50,,,1000,104,70,130,0,,,,3,"(<15)","Metals by ICP/MS (Provisional Cert)",15,13,"DMM",0.2,0.1,0.07
"","1212341025MS","1","05/11/2021 11:33","1610044","MS","","05/12/2021 08:16","05/21/2021 07:24","MMS11107","MXX34173","E200.2","05/14/2021 09:40","Zinc",".","7440-66-6","N","EP200.8",1070,"=","",,5,"ug/L",1,20,50,,,1000,107,70,130,0,,,,3,"(<5000)","Metals by ICP/MS (Provisional Cert)",15,32,"DMM",10,5,3.1
"","1212341040MS","1","05/11/2021 07:56","1610045","MS","","05/12/2021 08:16","05/21/2021 07:30","MMS11107","MXX34173","E200.2","05/14/2021 09:40","Arsenic",".","7440-38-2","N","EP200.8",1030,"=","",,2.5,"ug/L",1,20,50,,,1000,103,70,130,0,,,,3,"(<10)","Metals by ICP/MS (Provisional Cert)",15,3,"DMM",5,2.5,1.5
"","1212341040MS","1","05/11/2021 07:56","1610045","MS","","05/12/2021 08:16","05/21/2021 07:30","MMS11107","MXX34173","E200.2","05/14/2021 09:40","Cadmium",".","7440-43-9","N","EP200.8",103,"=","",,0.25,"ug/L",1,20,50,,,100,103,70,130,0,,,,3,"(<5)","Metals by ICP/MS (Provisional Cert)",15,7,"DMM",0.5,0.25,0.15
"","1212341040MS","1","05/11/2021 07:56","1610045","MS","","05/12/2021 08:16","05/21/2021 07:30","MMS11107","MXX34173","E200.2","05/14/2021 09:40","Chromium",".","7440-47-3","N","EP200.8",400,"=","",,2.5,"ug/L",1,20,50,,,400,99.9,70,130,0,,,,3,"(<100)","Metals by ICP/MS (Provisional Cert)",15,9,"DMM",5,2.5,2.5
