"PROJECT_ID","SAMPLE_ID","MATRIX","COLLECT_DATE","LAB_SAMPLE_ID","SAMPLE_TYPE","LOCATION","REC_DATE","RUN_DATE_TIME","ANL_BATCH","PRP_BATCH","EXTRACTION_CODE","EXTRACTED_DATE","ANALYTE","DISSOLVED","CAS_NUMBER","ANALYTE_FLAG","ANALYTICAL_METHOD",RESULT,"RESULTFLAG","TEXT_RESULT",MDL,REPDL,"UNITS",ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERED,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,"ALLOWABLE_LIMIT","ANALYSIS_GROUP",METHOD_ORDER,ANALYTE_ORDER,"ANALYST",LOQ,LOD,DL
"","1214541001 MS FOR [WFI2945]","9","07/23/2021 15:00","1627292","MS","","07/23/2021 16:47","08/02/2021 10:16","WFI2945","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",7.11,"=","",,0.1,"mg/L",2,5,5,,,5,103,90,110,1.97,,,,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05
"","1214541001 MSD FOR [WFI2945]","9","07/23/2021 15:00","1627293","MSD","","07/23/2021 16:47","08/02/2021 10:18","WFI2945","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",7.29,"=","",,0.1,"mg/L",2,5,5,,,5,106,90,110,1.97,2.5,0,25,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05
"","1214596001 MS FOR [WFI2945]","0","07/26/2021 08:20","1627294","MS","","07/27/2021 08:20","08/02/2021 11:00","WFI2945","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.1,"=","",,0.1,"mg/L",2,5,5,,,5,102,90,110,0,,,,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05
"","1214596001 MSD FOR [WFI2945]","0","07/26/2021 08:20","1627295","MSD","","07/27/2021 08:20","08/02/2021 11:02","WFI2945","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",4.94,"=","",,0.1,"mg/L",2,5,5,,,5,98.8,90,110,0,3.1,0,25,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05
"","1214655001MS","1","07/27/2021 09:30","1627296","MS","","07/27/2021 16:39","08/02/2021 11:46","WFI2945","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.32,"=","",,0.1,"mg/L",2,5,5,,,5,106,90,110,0,,,,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05
"","1214655001MS","1","07/27/2021 09:30","1627563","MS","","07/27/2021 16:39","08/02/2021 17:09","WDA5035","WXX13837","SM21 4500P-B,E","08/02/2021 12:25","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.215,"=","",,0.02,"mg/L",1,25,25,,,0.2,108,75,125,0,,,,3,"","Waters Department",20,266,"EWW",0.04,0.02,0.012
"","1214655001MSD","1","07/27/2021 09:30","1627297","MSD","","07/27/2021 16:39","08/02/2021 11:47","WFI2945","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.25,"=","",,0.1,"mg/L",2,5,5,,,5,105,90,110,0,1.2,0,25,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05
"","1214655001MSD","1","07/27/2021 09:30","1627564","MSD","","07/27/2021 16:39","08/02/2021 17:10","WDA5035","WXX13837","SM21 4500P-B,E","08/02/2021 12:25","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.218,"=","",,0.02,"mg/L",1,25,25,,,0.2,109,75,125,0,1.3,0,25,3,"","Waters Department",20,266,"EWW",0.04,0.02,0.012
"","1214655013MS","1","07/27/2021 09:30","1627570","MS","","07/27/2021 16:39","08/02/2021 17:27","WDA5035","WXX13838","SM21 4500P-B,E","08/02/2021 12:25","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.245,"=","",,0.02,"mg/L",1,25,25,,,0.2,122,75,125,0,,,,3,"","Waters Department",20,266,"EWW",0.04,0.02,0.012
"","1214655013MSD","1","07/27/2021 09:30","1627571","MSD","","07/27/2021 16:39","08/02/2021 17:30","WDA5035","WXX13838","SM21 4500P-B,E","08/02/2021 12:25","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.241,"=","",,0.02,"mg/L",1,25,25,,,0.2,121,75,125,0,1.4,0,25,3,"","Waters Department",20,266,"EWW",0.04,0.02,0.012
"","1214655019MS","1","07/27/2021 09:14","1627298","MS","","07/27/2021 16:39","08/02/2021 12:31","WFI2945","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.23,"=","",,0.1,"mg/L",2,5,5,,,5,105,90,110,0,,,,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05
"","1214655019MSD","1","07/27/2021 09:14","1627299","MSD","","07/27/2021 16:39","08/02/2021 12:33","WFI2945","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.36,"=","",,0.1,"mg/L",2,5,5,,,5,107,90,110,0,2.4,0,25,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05
"","1627155 MS FOR [MXX34483]","1","07/27/2021 11:00","1627156","MS","","08/01/2021 17:27","08/05/2021 09:17","MMS11228","MXX34483","E200.2","08/01/2021 14:32","Aluminum",".","7429-90-5","N","EP200.8",965,"=","",,10,"ug/L",1,20,50,,,1000,96.5,70,130,0,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,1,"AKA",20,10,6.2
