unique.dat.analyte.,analyte_abbreviation
Aluminum,Al
Antimony,Sb
Arsenic,As
Barium,Ba
Benzene,Benzene
Beryllium,Be
Cadmium,Cd
Calcium,Ca
"Calcium, Total",Total Ca
Chromium,Cr
Cobalt,Co
Copper,Cu
Ethylbenzene,Ethylbenzene
Fecal Coliform,FC
Iron,Fe
"Iron, Total",Total Fe
Lead,Pb
Magnesium,Mg
"Magnesium, Total",Total Mg
Manganese,Mn
Molybdenum,Mo
Nickel,Ni
o-Xylene,o-Xylene
P & M -Xylene,P & M -Xylene
Phosphorus,P
Potassium,K
Selenium,Se
Silicon,Si
Silver,Ag
Sodium,Na
Thallium,Tl
Tin,Sn
Titanium,Ti
Toluene,Toluene
Total Nitrate/Nitrite-N,Total Nitrate/Nitrite-N
Total Phosphorus,Total P
Total suspended solids,TSS
Vanadium,V
Zinc,Zn
Xylenes (total),Xylenes (total)
