PARAMETER,METHOD/RANGE,UNITS,SENSITIVITY,PRECISION,ACCURACY,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,PQL,OVERALL,,,
PARAMETER,METHOD / RANGE,Sensitivity (MDL),,,PROJECT PRECISION,ACCURACY,,
,,,,,,,,
Gasoline Range Organics (GRO),AK101 by GCFID: 25-,3.0 μg/L,,5x MDL,20%,Calibration: ±25%,,
,"1,000,000,000",,,,,Recovery: 60-120%,,
Diesel Range Organics (DRO),AK102 by GCFID: 50-,0.0065 mg/L,,0.11 mg/L,20%,Calibration: ±25%,,
,"1,000,000",,,,,Recovery: ±25%,,
Residual Range Organics (RRO),AK103 by GCFID: 500-,0.22 mg/L,,0.54 mg/L,20%,Calibration: 75-105%,,
,"1,000,000",,,,,Recovery: 60-120%,,
Benzene,EPA 602 by GC/PID: 1-,0.074 μg/L,,1.0 μg/L,20%,Calibration: ±15%,,
,"1,000,000,000",,,,,Recovery: ±30%,,
Ethylbenzene,EPA 602 by GC/PID: 1-,0..088 μg/L,,1.0 μg/L,20%,Calibration: ±15%,,
,"1,000,000,000",,,,,Recovery: ±30%,,
Toluene,EPA 602 by GC/PID: 1-,0.078 μg/L,,1.0 μg/L,20%,Calibration: ±15%,,
,"1,000,000,000",,,,,Recovery: ±30%,,
"m,p-Xylene (total)",EPA 602 by GC/PID: 1-,0.20 μg/L,,2.0 μg/L,20%,Calibration: ±15%,,
,"1,000,000,000",,,,,Recovery: ±30%,,
o-Xylene,EPA 602 by GC/PID: 1-,0.20 μg/L,,1.0 μg/L,20%,Calibration: ±15%,,
,"1,000,000,000",,,,,Recovery: ±30%,,
Xylenes (total),EPA 602 by GC/PID: 1-,0.82 μg/L,,3.0 μg/L,20%,Calibration: ±15%,,
,"1,000,000,000",,,,,Recovery: ±30%,,
Bromofluorobenzene (surrogate),EPA 602 by GCPID,0.12 μg/L,,0.50 μg/L,20%,Calibration: ±15%,,
,,,,,,Recovery: ±30%,,
PARAMETER,METHOD / RANGE,Sensitivity (MDL),PQL,OVERALL PROJECT PRECISION,ACCURACY,,,
Benzene,EPA 624,0.12 μg/L,0.40 μg/L,20%,±20.5%,,,
Ethylbenzene,EPA 624,0.31 μg/L,1.0 μg/L,20%,±21%,,,
Toluene,EPA 624,0.31 μg/L,1.0 μg/L,20%,±20.5%,,,
"m,p-Xylene (total)",EPA 624,0.620 μg/L,2.0 μg/L,20%,±20.5%,,,
o-Xylene,EPA 624,0.31 μg/L,1.0 μg/L,20%,±22%,,,
"1,2-Dichloroethane-D4(surrogate)",EPA 624,,,,±18.5%,,,
"4-Bromofluorobenzene(surrogate)",EPA 624,,,,±14.4%,,,
"Toluene D-8(surrogate)",EPA 624,,,,±11.5%,,,
,,,PQL OVERALL,,,,,
PARAMETER,METHOD,SENSITIVITY PROJECT (MDL),PRECISION,,ACCURACY,,,
Hardness,"Calculated from Ca, total",,,,,,,
,"and Mg, total as CaCO3 +",,,,,,,
,MgCO3,,,,,,,
"Calcium, total",EPA 200.7,1.0 mg/L,4.0 mg/L ≤ 20 RPD,,±21 % LCS,,,
"Iron, total",EPA 200.7,2.0 mg/L,8.0 mg/L ≤ 20 RPD,,±49.5 % LCS,,,
"Magnesium, total",EPA 200.7,0.2 mg/L,2.0mg/L ≤ 20 RPD,,±27 % LCS,,,
