sample_condition,monitoring_location_name,collect_date,collect_time
,"Kenai River - River Mile 0 - ""No Name"" Creek",,10:12
DUP,"Kenai River - River Mile 0 - ""No Name"" Creek",,10:17
,Kenai River - River Mile 1.5,,9:30
,Kenai River - River Mile 10.1,,10:30
,Kenai River - River Mile 10 - Beaver Creek,,10:05
,Kenai River - The Pillars Park,,10:50
,Kenai River - River Mile 18,,11:25
,Kenai River - River Mile 19 - Slikok Creek,,12:09
,Kenai River - River Mile 21,,9:53
,Kenai River - River Mile 22 - Soldotna Creek,,11:35
,Kenai River - River Mile 23,,11:10
,Kenai River - River Mile 30 - Funny River,,9:06
DUP,Kenai River - River Mile 31,,
,Kenai River - River Mile 31,,10:13
,Kenai River - River Mile 36 - Moose River,,
,Kenai River - River Mile 40,,
,Kenai River - River Mile 43,,
,Kenai River - River Mile 44 - Killey River,,
,Kenai River - River Mile 50 - Skilak Lake Outflow,,
,Kenai River - Cunningham Park,,9:15
,Kenai River - River Mile 70 - Jim's Landing,,
,Kenai River - River Mile 74 - Russian River,,
,Kenai River Juneau Creek,,
,Kenai River Mile 82 - Kenai Lake Bridge,,
