latitude,longitude,location_id,location_name,,,,,,
60.550888,-151.268417,KR RM 0 NNC,"Kenai River - River Mile 0 - ""No Name"" Creek",,,,,,
60.54368,-151.22294,KR RM 1.5,Kenai River - River Mile 1.5,,,,,,
60.539279,-151.142263,KR RM 10.1,Kenai River - River Mile 10.1,,,,,,
60.548029,-151.14324,KR RM 10 BC,Kenai River - River Mile 10 - Beaver Creek,,,,,,
60.533743,-151.099258,KR RM 12.5,Kenai River - The Pillars Park,,,,,, 
60.502005,-151.106973,KR RM 18,Kenai River - River Mile 18,,,,,,
60.482318,-151.127053,KR RM 19 SC,Kenai River - River Mile 19 - Slikok Creek,,,,,,
60.476634,-151.082099,KR RM 21,Kenai River - River Mile 21,,,,,,
60.483364,-151.057656,KR RM 22 SOC,Kenai River - River Mile 22 - Soldotna Creek,,,,,,
60.480338,-151.030847,KR RM 23,Kenai River - River Mile 23,,,,,,
60.489963,-150.860982,KR RM 30 FR,Kenai River - River Mile 30 - Funny River,,,,,,
60.498284,-150.863121,KR RM 31,Kenai River - River Mile 31,,,,,,
60.53687,-150.754724,KR RM 36 MR,Kenai River - River Mile 36 - Moose River,,,,,,
60.515441,-150.702069,KR RM 40,Kenai River - River Mile 40,,,,,,
60.489844,-150.636905,KR RM 43,Kenai River - River Mile 43,,,,,,
60.481518,-150.632498,KR RM 44 KI,Kenai River - River Mile 44 - Killey River,,,,,,
60.467517,-150.507789,KR RM 50,Kenai River - River Mile 50 - Skilak Lake Outflow,,,,,,
60.54081,-151.18278,KR RM 6.5,Kenai River - Cunningham Park,,,,,,
60.481392,-150.11502,KR RM 70,Kenai River - River Mile 70 - Jim's Landing,,,,,,
60.484622,-149.993955,KR RM 74 RR,Kenai River - River Mile 74 - Russian River,,,,,,
60.481392,-150.11502,KR RM 79.5 JC,Kenai River Juneau Creek,,,,,,
60.492007,-149.810844,KR RM 82,Kenai River Mile 82 - Kenai Lake Bridge,,,,,,
