OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000002,KBL_m_01.5,River/Stream,City_of_Kenai_Docks,19020302,,,,,60.5436800000,-151.2229400000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000005,KBL_m_06.5,River/Stream,Cunningham_Park,19020302,,,,,60.5408100000,-151.1827800000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000008,KBL_t_00.0,River/Stream,No_Name_Creek,19020302,,,,,60.5508880000,-151.2684170000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000015,KBL_t_10.0,River/Stream,Beaver_Creek,19020302,,,,,60.5480290000,-151.1432400000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000016,KBL_m_10.1,River/Stream,Kenai_River_near_Beaver_creek,19020302,,,,,60.5392790000,-151.1422630000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000017,KBL_m_12.5,River/Stream,Pillars,19020302,,,,,60.5337430000,-151.0992580000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000018,KBL_m_18.0,River/Stream,Poachers_Cove,19020302,,,,,60.5020050000,-151.1069730000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000020,KBL_t_19.0,River/Stream,Slikok_Creek,19020302,,,,,60.4823180000,-151.1270530000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000021,KBL_m_21.0,River/Stream,Soldotna_Bridge,19020302,,,,,60.4766340000,-151.0820990000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000022,KBL_t_22.0,River/Stream,Soldotna_Creek,19020302,,,,,60.4833640000,-151.0576560000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000023,KBL_m_23.0,River/Stream,Swiftwater_Park,19020302,,,,,60.4803380000,-151.0308470000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000024,KBL_t_30.0,River/Stream,Funny_River,19020302,,,,,60.4899630000,-150.8609820000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000025,KBL_m_31.0,River/Stream,Morgans_Landing,19020302,,,,,60.4982840000,-150.8631210000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000026,KBL_t_36.0,River/Stream,Moose_River,19020302,,,,,60.5368700000,-150.7547240000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000027,KBL_m_40.0,River/Stream,Bings_Landing,19020302,,,,,60.5154410000,-150.7020690000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000028,KBL_m_43.0,River/Stream,Upstream_Dow_Island,19020302,,,,,60.4898440000,-150.6369050000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000029,KBL_t_44.0,River/Stream,Killey_River,19020302,,,,,60.4815180000,-150.6324980000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000030,KBL_m_50.0,River/Stream,Skilak_Lake_Outlet,19020302,,,,,60.4675170000,-150.5077890000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000031,KBL_m_70.0,River/Stream,Jims_Landing,19020302,,,,,60.4813920000,-150.1150200000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000032,KBL_t_74.0,River/Stream,Russian_River,19020302,,,,,60.4846220000,-149.9939550000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000063,KBX_m_03.5,River/Stream Perennial,Buoy,19020302,,,,,60.5223800000,-151.2454400000,,,,Interpolation-Satellite,NAD83,,,,,,,US,02,122,,,,,,,,,STORET
