"Monitoring Location ID","Activity Media Name","Activity Media Subdivision Name","Activity ID","Activity Start Date","Activity Start Time","Activity End Date","Activity End Time","Activity Latitude","Activity Longitude","Activity Source Map Scale","Activity Type","Activity Depth/Height Measure","Activity Depth/Height Unit","Activity Top Depth/Height Measure","Activity Top Depth/Height Unit","Activity Bottom Depth/Height Measure","Activity Bottom Depth/Height Unit","Activity Relative Depth Name","Activity Comment","Characteristic Name","Result Analytical Method ID","Result Analytical Method Context","Method Speciation","Result Value","Result Unit","Result Qualifier","Result Weight Basis","Statistical Base Code","Result Sample Fraction","Result Value Type","Result Comment","Sample Collection Method ID","Equipment ID","Result Detection Condition","Result Detection Limit Type 1","Result Detection Limit Value 1","Result Detection Limit Unit 1","Result Detection Limit Type 2","Result Detection Limit Value 2","Result Detection Limit Unit 2","Laboratory Accreditation Indicator","Laboratory Name","Laboratory Sample ID","Analysis Start Date","Analysis Start Time","Biological Intent","Subject Taxonomic Name","Thermal Preservative","Sample Container Type","Sample Container Color","Chemical Preservative"
"KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Total Nitrate/Nitrite-N",2021-05-11,10:10:00,"","",60.550888,"-151.268417","","Field Msr/Obs",15,"cm","","","","","",NA,"Total Nitrate/Nitrite-N","4500-NO3(F)","APHA","",0.119,"mg/L","J","Sampled",NA,"Total","Actual","","","Water Bottle","Present Below Quantification Limit","Limit of Quantitation",0.2,"mg/L","Method Detection Level",0.1,"mg/L","","SGS North America, Anchorage, Alaska","1212341015",2021-05-15,13:39:00,"","","Cold packs","Plastic Bottle","Opaque","H2SO4"
"KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Total P",2021-05-11,10:10:00,"","",60.550888,"-151.268417","","Field Msr/Obs",15,"cm","","","","","",NA,"Total Phosphorus","4500-P-E","APHA","",0.0416,"mg/L","=","Sampled",NA,"Total","Actual","","","Water Bottle",NA,"Limit of Quantitation",0.04,"mg/L","Method Detection Level",0.02,"mg/L","","SGS North America, Anchorage, Alaska","1212341015",2021-05-18,19:09:00,"","","Cold packs","Plastic Bottle","Opaque","H2SO4"
"KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-As",2021-05-11,10:11:00,"","",60.550888,"-151.268417","","Field Msr/Obs",15,"cm","","","","","",NA,"Arsenic","200.8","USEPA","",NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",2.5,"ug/L","","SGS North America, Anchorage, Alaska","1212341055",2021-05-21,09:46:00,"","","Cold packs","Plastic Bottle","Opaque","HNO3"
"KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Cd",2021-05-11,10:11:00,"","",60.550888,"-151.268417","","Field Msr/Obs",15,"cm","","","","","",NA,"Cadmium","200.8","USEPA","",NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",0.5,"ug/L","Method Detection Level",0.25,"ug/L","","SGS North America, Anchorage, Alaska","1212341055",2021-05-21,09:46:00,"","","Cold packs","Plastic Bottle","Opaque","HNO3"
"KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Cr",2021-05-11,10:11:00,"","",60.550888,"-151.268417","","Field Msr/Obs",15,"cm","","","","","",NA,"Chromium","200.8","USEPA","",NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",2.5,"ug/L","","SGS North America, Anchorage, Alaska","1212341055",2021-05-21,09:46:00,"","","Cold packs","Plastic Bottle","Opaque","HNO3"
"KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Cu",2021-05-11,10:11:00,"","",60.550888,"-151.268417","","Field Msr/Obs",15,"cm","","","","","",NA,"Copper","200.8","USEPA","",NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",1,"ug/L","Method Detection Level",0.5,"ug/L","","SGS North America, Anchorage, Alaska","1212341055",2021-05-21,09:46:00,"","","Cold packs","Plastic Bottle","Opaque","HNO3"
"KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Pb",2021-05-11,10:11:00,"","",60.550888,"-151.268417","","Field Msr/Obs",15,"cm","","","","","",NA,"Lead","200.8","USEPA","",NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",0.2,"ug/L","Method Detection Level",0.1,"ug/L","","SGS North America, Anchorage, Alaska","1212341055",2021-05-21,09:46:00,"","","Cold packs","Plastic Bottle","Opaque","HNO3"
"KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Zn",2021-05-11,10:11:00,"","",60.550888,"-151.268417","","Field Msr/Obs",15,"cm","","","","","",NA,"Zinc","200.8","USEPA","",NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",10,"ug/L","Method Detection Level",5,"ug/L","","SGS North America, Anchorage, Alaska","1212341055",2021-05-21,09:46:00,"","","Cold packs","Plastic Bottle","Opaque","HNO3"
"KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Total Nitrate/Nitrite-N-DUP",2021-05-11,10:18:00,"","",60.550888,"-151.268417","","Quality Control Field Replicate Msr/Obs",15,"cm","","","","","",NA,"Total Nitrate/Nitrite-N","4500-NO3(F)","APHA","",0.122,"mg/L","J","Sampled",NA,"Total","Actual","","","Water Bottle","Present Below Quantification Limit","Limit of Quantitation",0.2,"mg/L","Method Detection Level",0.1,"mg/L","","SGS North America, Anchorage, Alaska","1212341016",2021-05-15,13:41:00,"","","Cold packs","Plastic Bottle","Opaque","H2SO4"
"KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Total P-DUP",2021-05-11,10:18:00,"","",60.550888,"-151.268417","","Quality Control Field Replicate Msr/Obs",15,"cm","","","","","",NA,"Total Phosphorus","4500-P-E","APHA","",0.0394,"mg/L","J","Sampled",NA,"Total","Actual","","","Water Bottle","Present Below Quantification Limit","Limit of Quantitation",0.04,"mg/L","Method Detection Level",0.02,"mg/L","","SGS North America, Anchorage, Alaska","1212341016",2021-05-18,19:10:00,"","","Cold packs","Plastic Bottle","Opaque","H2SO4"
"KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-As-DUP",2021-05-11,10:20:00,"","",60.550888,"-151.268417","","Quality Control Field Replicate Msr/Obs",15,"cm","","","","","",NA,"Arsenic","200.8","USEPA","",NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",2.5,"ug/L","","SGS North America, Anchorage, Alaska","1212341053",2021-05-21,09:43:00,"","","Cold packs","Plastic Bottle","Opaque","HNO3"
"KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Cd-DUP",2021-05-11,10:20:00,"","",60.550888,"-151.268417","","Quality Control Field Replicate Msr/Obs",15,"cm","","","","","",NA,"Cadmium","200.8","USEPA","",NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",0.5,"ug/L","Method Detection Level",0.25,"ug/L","","SGS North America, Anchorage, Alaska","1212341053",2021-05-21,09:43:00,"","","Cold packs","Plastic Bottle","Opaque","HNO3"
"KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Cr-DUP",2021-05-11,10:20:00,"","",60.550888,"-151.268417","","Quality Control Field Replicate Msr/Obs",15,"cm","","","","","",NA,"Chromium","200.8","USEPA","",NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",2.5,"ug/L","","SGS North America, Anchorage, Alaska","1212341053",2021-05-21,09:43:00,"","","Cold packs","Plastic Bottle","Opaque","HNO3"
"KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Cu-DUP",2021-05-11,10:20:00,"","",60.550888,"-151.268417","","Quality Control Field Replicate Msr/Obs",15,"cm","","","","","",NA,"Copper","200.8","USEPA","",NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",1,"ug/L","Method Detection Level",0.5,"ug/L","","SGS North America, Anchorage, Alaska","1212341053",2021-05-21,09:43:00,"","","Cold packs","Plastic Bottle","Opaque","HNO3"
"KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Pb-DUP",2021-05-11,10:20:00,"","",60.550888,"-151.268417","","Quality Control Field Replicate Msr/Obs",15,"cm","","","","","",NA,"Lead","200.8","USEPA","",NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",0.2,"ug/L","Method Detection Level",0.1,"ug/L","","SGS North America, Anchorage, Alaska","1212341053",2021-05-21,09:43:00,"","","Cold packs","Plastic Bottle","Opaque","HNO3"
"KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Zn-DUP",2021-05-11,10:20:00,"","",60.550888,"-151.268417","","Quality Control Field Replicate Msr/Obs",15,"cm","","","","","",NA,"Zinc","200.8","USEPA","",NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",10,"ug/L","Method Detection Level",5,"ug/L","","SGS North America, Anchorage, Alaska","1212341053",2021-05-21,09:43:00,"","","Cold packs","Plastic Bottle","Opaque","HNO3"
